[3859]: {'stabilizer.yaw': 0.005814868491142988, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 278.0, 'hotpatch.context_switches': 16231.0, 'hotpatch.measure_time': 4654452.0}
[3869]: {'stabilizer.yaw': 0.00700095621868968, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 279.0, 'hotpatch.context_switches': 16322.0, 'hotpatch.measure_time': 4680315.0}
[3879]: {'stabilizer.yaw': 0.007140763569623232, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 280.0, 'hotpatch.context_switches': 16415.0, 'hotpatch.measure_time': 4707037.0}
[3889]: {'stabilizer.yaw': 0.006935725454241037, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 281.0, 'hotpatch.context_switches': 16508.0, 'hotpatch.measure_time': 4733755.0}
[3899]: {'stabilizer.yaw': 0.006365121807903051, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 282.0, 'hotpatch.context_switches': 16604.0, 'hotpatch.measure_time': 4761336.0}
[3909]: {'stabilizer.yaw': 0.006465328391641378, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 283.0, 'hotpatch.context_switches': 16696.0, 'hotpatch.measure_time': 4787747.0}
[3919]: {'stabilizer.yaw': 0.007160146255046129, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 284.0, 'hotpatch.context_switches': 16790.0, 'hotpatch.measure_time': 4814736.0}
[3929]: {'stabilizer.yaw': 0.007971384562551975, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 285.0, 'hotpatch.context_switches': 16881.0, 'hotpatch.measure_time': 4840877.0}
[3939]: {'stabilizer.yaw': 0.008206901140511036, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 286.0, 'hotpatch.context_switches': 16974.0, 'hotpatch.measure_time': 4867490.0}
[3949]: {'stabilizer.yaw': 0.009818666614592075, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 287.0, 'hotpatch.context_switches': 17065.0, 'hotpatch.measure_time': 4893599.0}
[3959]: {'stabilizer.yaw': 0.009662614203989506, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 288.0, 'hotpatch.context_switches': 17158.0, 'hotpatch.measure_time': 4920252.0}
[3969]: {'stabilizer.yaw': 0.010408752597868443, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 289.0, 'hotpatch.context_switches': 17249.0, 'hotpatch.measure_time': 4946313.0}
