[3645]: {'stabilizer.yaw': 0.0003159677144140005, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 256.0, 'hotpatch.context_switches': 14210.0, 'hotpatch.measure_time': 3631847.0}
[3655]: {'stabilizer.yaw': -6.298058724496514e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 257.0, 'hotpatch.context_switches': 14299.0, 'hotpatch.measure_time': 3654664.0}
[3665]: {'stabilizer.yaw': -0.0005366842378862202, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 258.0, 'hotpatch.context_switches': 14390.0, 'hotpatch.measure_time': 3677971.0}
[3675]: {'stabilizer.yaw': -0.00012884769239462912, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 259.0, 'hotpatch.context_switches': 14479.0, 'hotpatch.measure_time': 3700757.0}
[3685]: {'stabilizer.yaw': -0.00024156451399903744, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 260.0, 'hotpatch.context_switches': 14570.0, 'hotpatch.measure_time': 3724037.0}
[3695]: {'stabilizer.yaw': 0.000327729998389259, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 261.0, 'hotpatch.context_switches': 14659.0, 'hotpatch.measure_time': 3746940.0}
[3705]: {'stabilizer.yaw': 0.001050998573191464, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 262.0, 'hotpatch.context_switches': 14751.0, 'hotpatch.measure_time': 3770645.0}
[3715]: {'stabilizer.yaw': -4.716489274869673e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 263.0, 'hotpatch.context_switches': 14839.0, 'hotpatch.measure_time': 3793308.0}
[3725]: {'stabilizer.yaw': -9.06695713638328e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 264.0, 'hotpatch.context_switches': 14928.0, 'hotpatch.measure_time': 3816259.0}
[3735]: {'stabilizer.yaw': 0.00026838877238333225, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 265.0, 'hotpatch.context_switches': 15017.0, 'hotpatch.measure_time': 3839207.0}
