[3686]: {'stabilizer.yaw': -0.0030401204712688923, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14225.0, 'hotpatch.measure_time': 2667590.0}
[3696]: {'stabilizer.yaw': -0.0027805876452475786, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14315.0, 'hotpatch.measure_time': 2684572.0}
[3706]: {'stabilizer.yaw': -0.0030318647623062134, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14410.0, 'hotpatch.measure_time': 2702477.0}
[3716]: {'stabilizer.yaw': -0.0035072832833975554, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14500.0, 'hotpatch.measure_time': 2719458.0}
[3726]: {'stabilizer.yaw': -0.004874942358583212, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14592.0, 'hotpatch.measure_time': 2736817.0}
[3736]: {'stabilizer.yaw': -0.003993765451014042, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14682.0, 'hotpatch.measure_time': 2753808.0}
[3746]: {'stabilizer.yaw': -0.0026590684428811073, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14774.0, 'hotpatch.measure_time': 2771171.0}
[3756]: {'stabilizer.yaw': -0.002705090679228306, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14864.0, 'hotpatch.measure_time': 2788151.0}
[3766]: {'stabilizer.yaw': -0.002024649875238538, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14956.0, 'hotpatch.measure_time': 2805512.0}
[3776]: {'stabilizer.yaw': -0.001609969069249928, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15046.0, 'hotpatch.measure_time': 2822494.0}
